Name,Value
input_dim,784
output_dim,10
batch_size,64
AE_dim,1000
layers,"1000,256,10"
index,L02
useAE,1
AEindex,104
learning_rate,0.001
accuracy,"0.1738,0.2528,0.3068,0.3374,0.3711,0.4016,0.4208,0.4242,0.4179,0.4019,0.3777,0.3659,0.3658,0.3746,0.3848,0.3893,0.3984,0.4222,0.4589,0.4923,0.5125,0.5638,0.5999,0.6099,0.6136,0.62,0.6262,0.6301,0.6352,0.6397,0.6433,0.6462,0.6498,0.653,0.6548,0.656,0.6572,0.6583,0.6594,0.6605,0.6616,0.6626,0.6634,0.6648,0.6651,0.6661,0.6671,0.6682,0.6689,0.6697,0.6704,0.6713,0.6721,0.6728,0.673,0.6733,0.6734,0.6743,0.6748,0.6759,0.6768,0.6773,0.6779,0.6782,0.6786,0.6802,0.6811,0.6816,0.6825,0.6835,0.6839,0.6849,0.6852,0.6853,0.6858,0.686,0.6869,0.6869,0.6871,0.6879,0.6882,0.6888,0.6893,0.6894,0.6898,0.6907,0.6907,0.6913,0.691,0.6914,0.6925,0.7062,0.7119,0.7155,0.7191,0.7252,0.7298,0.7343,0.7374,0.7406,0.7449,0.7484,0.7507,0.7529,0.7559,0.7581,0.7603,0.7629,0.7645,0.766,0.7667,0.7685,0.7697,0.7706,0.7714,0.7718,0.7729,0.7738,0.7743,0.7749,0.7758,0.7765,0.7768,0.7775,0.7776,0.7779,0.7781,0.7785,0.7791,0.7795,0.7799,0.7802,0.7802,0.7807,0.7809,0.781,0.7813,0.7818,0.782,0.783,0.7832,0.7836,0.7838,0.7843,0.7848,0.7852,0.7853,0.7856,0.7857,0.786,0.7864,0.7866,0.7868,0.7867,0.7869,0.7872,0.7872,0.7876,0.788,0.788,0.7883,0.7885,0.7885,0.7886,0.7886,0.7887,0.789,0.7891,0.7894,0.7893,0.7893,0.7895,0.7897,0.7897,0.7897,0.7898,0.7898,0.7902,0.7904,0.7907,0.7908,0.7911,0.7912,0.7914,0.7916,0.7919,0.7918,0.792,0.7922,0.7927,0.7932,0.7932,0.7932,0.7933,0.7934,0.7935,0.7937,0.7939,0.794,0.7941,0.7944,0.7946,0.7947,0.7949,0.7949,0.7951,0.7951,0.7951,0.7953,0.7955,0.7959,0.796,0.7963,0.7963,0.7964,0.7967,0.7967,0.7968,0.7969,0.797,0.7968,0.7968,0.7967,0.7968,0.7969,0.7969,0.7972,0.7972,0.7973,0.7973,0.7974,0.7975,0.7975,0.7976,0.7977,0.7979,0.7979,0.798,0.7982,0.7982,0.7982,0.7982,0.7982,0.7983,0.7982,0.7982,0.7983,0.7984,0.7985,0.7986,0.7987,0.799,0.7989,0.7989,0.7987,0.7988,0.7989,0.7989,0.7989,0.7989,0.7989,0.799,0.7993,0.7995,0.7996,0.7996,0.7997,0.7997,0.7997,0.7999,0.7999,0.8001,0.8004,0.8004,0.8004,0.8005,0.8005,0.8005,0.8005,0.8006,0.8007,0.8008,0.8009,0.801,0.801,0.8011,0.8012,0.8015,0.8015,0.8015,0.8015,0.8017,0.8017,0.8018,0.8018,0.8018,0.8019,0.8021,0.8019,0.8019,0.8019,0.8019,0.802,0.8022,0.8024,0.8023,0.8026,0.8028,0.8029,0.8029,0.8029,0.8029,0.803,0.8029,0.8028,0.8028,0.8028,0.803,0.8031,0.8034,0.8037,0.8037,0.8036,0.8036,0.8036,0.8036,0.8037,0.8036,0.8037,0.8038,0.8039,0.8039,0.8039,0.8039,0.8039,0.8039,0.8039,0.804,0.8041,0.8042,0.8043,0.8043,0.8045,0.8046,0.8048,0.8048,0.8047,0.8047,0.8048,0.8047,0.8049,0.8049,0.805,0.8051,0.8052,0.8051,0.8053,0.8054,0.8054,0.8052,0.8052,0.8053,0.8053,0.8053,0.8054,0.8055,0.8055,0.8055,0.8055,0.8056,0.8057,0.8056,0.8055,0.8057,0.8058,0.8059,0.8059,0.8059,0.8061,0.8061,0.8061,0.8062,0.8062,0.8064,0.8064,0.8063,0.8063,0.8063,0.8063,0.8063,0.8064,0.8064,0.8066,0.8069,0.8069,0.807,0.8069,0.8068,0.8069,0.8069,0.8071,0.8073,0.8071,0.8072,0.8072,0.8072,0.8072,0.8072,0.8072,0.8073,0.8073,0.8073,0.8073,0.8073,0.8074,0.8074,0.8075,0.8076,0.8076,0.8076,0.8076,0.8077,0.8077,0.8077,0.8078,0.8078,0.8078,0.8078,0.8078,0.808,0.808,0.808,0.8081,0.8081,0.8082,0.8084,0.8084,0.8084,0.8084,0.8086,0.8087,0.8086,0.8086,0.8086,0.8086,0.8087,0.8086,0.8088,0.8088,0.8088,0.8088,0.8088,0.8088,0.8088,0.8089,0.809,0.8091,0.8091,0.8092,0.8093,0.8094,0.8094,0.8095,0.8095,0.8096,0.8097,0.8097,0.8097,0.8096,0.8099,0.81,0.81,0.81,0.81,0.81,0.81,0.8102,0.8102,0.8102,0.8102,0.8102,0.8101,0.8099,0.81,0.81,0.81,0.81,0.81,0.8101,0.8101,0.8101,0.81,0.81,0.81,0.81,0.81,0.81,0.8102,0.8102,0.8104,0.8105,0.8105,0.8107,0.8107,0.8107,0.8107,0.8108,0.8108,0.8108,0.8107,0.8107,0.8108,0.8108,0.8108,0.8109,0.811,0.8111,0.8111,0.8111,0.811,0.811,0.8109,0.8109,0.8109,0.811,0.8112,0.8114,0.8114,0.8114,0.8114,0.8115,0.8117,0.8117,0.8118,0.8118,0.8118,0.8119,0.8119,0.8119,0.812,0.812,0.812,0.8122,0.8122,0.8121,0.8121,0.8121,0.8121,0.8121,0.812,0.812,0.8121,0.8122,0.8124,0.8123,0.8123,0.8123,0.8124,0.8124,0.8124,0.8124,0.8124,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8126,0.8128,0.8128,0.813,0.8129,0.8129,0.813,0.813,0.813,0.813,0.8131,0.8131,0.8131,0.813,0.813,0.813,0.813,0.8131,0.8132,0.8132,0.8131,0.8131,0.8131,0.8131,0.8132,0.8133,0.8134,0.8135,0.8135,0.8136,0.8136,0.8137,0.8138,0.8139,0.8139,0.8141,0.8141,0.8141,0.8142,0.8142,0.8142,0.8142,0.8142,0.8142,0.8142,0.8144,0.8145,0.8145,0.8145,0.8145,0.8145,0.8146,0.8146,0.8148,0.8148,0.8148,0.8148,0.8148,0.8148,0.8149,0.8149,0.8149,0.8149,0.8149,0.8149,0.8149,0.8149,0.8149,0.8149,0.8149,0.815,0.8148,0.8149,0.8149,0.815,0.815,0.815,0.8151,0.8151,0.8151,0.8152,0.8152,0.8152,0.8153,0.8153,0.8154,0.8154,0.8155,0.8156,0.8157,0.8157,0.8157,0.8159,0.8159,0.8159,0.8161,0.8161,0.8162,0.8162,0.8162,0.8162,0.8163,0.8161,0.8161,0.8162,0.8162,0.8162,0.8162,0.8161,0.8161,0.8161,0.8161,0.8161,0.8161,0.8161,0.8162,0.8162,0.8163,0.8163,0.8163,0.8163,0.8163,0.8163,0.8163,0.8163,0.8164,0.8163,0.8163,0.8163,0.8163,0.8164,0.8164,0.8165,0.8165,0.8165,0.8164,0.8164,0.8165,0.8165,0.8165,0.8167,0.8167,0.8167,0.8167,0.8167,0.8167,0.8168,0.8171,0.8171,0.8171,0.817,0.8169,0.8169,0.8167,0.8167,0.8168,0.8168,0.8169,0.8168,0.8168,0.8167,0.8167,0.8167,0.8168,0.8168,0.8168,0.8167,0.8167,0.8167,0.8167,0.8168,0.8167,0.8167,0.8166,0.8166,0.8166,0.8166,0.8166,0.8167,0.8168,0.8168,0.8169,0.8169,0.8169,0.8169,0.8169,0.8169,0.8169,0.8169,0.817,0.817,0.817,0.8171,0.8172,0.8173,0.8172,0.8172,0.8173,0.8173,0.8173,0.8173,0.8173,0.8173,0.8173,0.8173,0.8173,0.8173,0.8173,0.8173,0.8173,0.8174,0.8174,0.8174,0.8176,0.8176,0.8176,0.8176,0.8176,0.8176,0.8176,0.8176,0.8176,0.8177,0.8177,0.8177,0.8177,0.8177,0.8178,0.8178,0.8178,0.8178,0.8179,0.8179,0.8179,0.8179,0.818,0.8179,0.8179,0.8179,0.818,0.8179,0.8179,0.8179,0.8179,0.8179,0.8179,0.8179,0.8179,0.8179,0.8179,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.8181,0.8181,0.8183,0.8183,0.8184,0.8184,0.8184,0.8185,0.8185,0.8185,0.8185,0.8185,0.8186,0.8186,0.8186,0.8186,0.8186,0.8186,0.8186,0.8186,0.8187,0.8187,0.8187,0.8187,0.8187,0.8187,0.8186,0.8185,0.8185,0.8185,0.8185,0.8185,0.8185,0.8185,0.8185,0.8186,0.8186,0.8188,0.8189,0.8189,0.8191,0.8192,0.8191,0.8192,0.8192,0.8192,0.8192,0.8192,0.8192,0.8192,0.8192,0.8193,0.8193,0.8192,0.8193,0.8193,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8194,0.8193,0.8194,0.8194,0.8194,0.8195,0.8196,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8194,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193,0.8194,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8197,0.8198,0.8198,0.8198,0.8198,0.8198,0.8197,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8196,0.8197,0.8196,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8196,0.8196"
