Name,Value
input_dim,784
output_dim,10
batch_size,64
AE_dim,512
layers,"512,256,10"
index,confTest
useAE,1
AEindex,100
learning_rate,0.001
accuracy,"0.1883,0.1873,0.1812,0.1796,0.1856,0.1904,0.197,0.2036,0.2115,0.2149,0.2161,0.2168,0.2169,0.2176,0.2166,0.2084,0.1991,0.2001,0.2076,0.2409,0.2773,0.2878,0.2941,0.3389,0.3767,0.3819,0.3857,0.4414,0.4676,0.5058,0.5381,0.5551,0.5753,0.5967,0.6069,0.6121,0.6157,0.6176,0.6193,0.6203,0.6208,0.6215,0.6223,0.6229,0.6237,0.6248,0.6251,0.6256,0.6262,0.6271,0.6278,0.6296,0.6318,0.6336,0.6362,0.6386,0.6414,0.6452,0.6497,0.6529,0.6564,0.6592,0.664,0.6679,0.6708,0.6741,0.6762,0.6773,0.6793,0.6811,0.6827,0.6844,0.6862,0.6888,0.6908,0.6925,0.6938,0.6961,0.6974,0.6985,0.7,0.7013,0.7023,0.7033,0.7035,0.7045,0.705,0.7052,0.7063,0.7072,0.7081,0.7087,0.7088,0.7095,0.7102,0.7106,0.7107,0.7108,0.7114,0.7118,0.7125,0.7132,0.7137,0.7143,0.7149,0.7152,0.7157,0.716,0.7159,0.7166,0.7174,0.7176,0.7178,0.7182,0.7187,0.7191,0.7193,0.7199,0.7198,0.7199,0.7198,0.7198,0.72,0.7206,0.7209,0.721,0.7213,0.7216,0.7217,0.7217,0.7219,0.7222,0.7229,0.7229,0.723,0.7231,0.723,0.7232,0.7237,0.7237,0.7237,0.7236,0.7238,0.7239,0.7244,0.7243,0.7246,0.7248,0.7252,0.7253"
aveloss,"0.03613209762573242,0.03611552019119263,0.03609878158569336,0.0360814031124115,0.036062988018989564,0.036043175387382505,0.036021585321426394,0.035997701120376584,0.035970886969566344,0.03594036350250244,0.035905133295059205,0.03586385986804962,0.03581471266746521,0.035754926204681396,0.03568019423484802,0.03558322250843048,0.03545091094970703,0.03526230185031891,0.03500834250450134,0.034733908462524415,0.03448164503574371,0.03424173920154572,0.033984904193878174,0.033687421679496767,0.03336155779361725,0.03305718692541122,0.032775075721740723,0.03248465940952301,0.03217997676134109,0.03187987095117569,0.0315773296713829,0.03127453042268753,0.030982220339775084,0.030712142133712768,0.030471980834007262,0.030263099348545073,0.030083296835422515,0.02992902660369873,0.029796535062789918,0.02968241858482361,0.029583671522140503,0.029497570276260376,0.029421789693832398,0.02935431263446808,0.029293444657325744,0.029237788903713226,0.029186299312114715,0.02913838210105896,0.029093827736377715,0.029052553558349608,0.02901423749923706,0.028978328001499177,0.028944280624389647,0.02891168142557144,0.02888018947839737,0.02884952093362808,0.02881942472457886,0.02878968653678894,0.028760115706920625,0.028730548155307768,0.028700854361057283,0.028670945966243745,0.02864074101448059,0.028610198390483857,0.028579383480548858,0.028548409593105315,0.02851735380887985,0.028486269402503966,0.028455237746238708,0.028424364459514618,0.02839373482465744,0.028363442087173462,0.028333560037612913,0.0283041548371315,0.028275286519527435,0.02824700890779495,0.028219351541996004,0.028192350161075592,0.028166034030914305,0.028140415036678315,0.028115517485141753,0.028091337192058564,0.02806788913011551,0.02804516988992691,0.02802315958738327,0.028001864767074586,0.027981269085407257,0.027961358964443208,0.027942123687267305,0.02792354382276535,0.02790560302734375,0.02788827791213989,0.027871549701690673,0.027855391001701355,0.027839781188964845,0.027824700570106508,0.02781012898683548,0.027796042597293853,0.02778241765499115,0.02776923370361328,0.02775647031068802,0.027744111251831054,0.027732135581970213,0.027720526444911957,0.027709266674518587,0.027698343551158904,0.02768774057626724,0.027677442729473114,0.027667435133457183,0.02765770605802536,0.027648243844509125,0.02763903819322586,0.027630077838897704,0.027621350514888763,0.027612847554683684,0.027604559171199798,0.027596476757526398,0.027588595032691957,0.027580902552604675,0.027573391580581665,0.027566052532196045,0.027558881759643553,0.027551874566078185,0.027545022547245026,0.027538319861888885,0.027531761467456818,0.027525342535972594,0.02751905883550644,0.02751290134191513,0.02750686889886856,0.027500955247879027,0.02749515532255173,0.02748946748971939,0.02748388730287552,0.027478411173820494,0.027473034775257112,0.02746775517463684,0.027462568879127503,0.027457472229003906,0.027452464163303374,0.027447541165351867,0.027442700231075288,0.027437939703464507,0.02743325616121292,0.027428646326065065,0.0274241086602211,0.02741964396238327,0.02741524738073349,0.027410917031764983,0.027406651890277862"
